,paper_abbrev,research_link,source,source_main,author_permission,publication_status,topic_subfield,secondary_cause_cat,author,author_comments_responses_ds,"""Link manager notes to evaluators""",submitter_name,stream,"""Endorse suggester's discussion""",endorse_assessor_ discussion_MV_PRIOR,working_paper_release_date,"'Comment below, and please put your initials next to the comment you are making'",public_why_relevant_impactful_ds,public_what_aspects_to_evaluate_ds,public_what_sort_of_evaluators_ds,author_engagement_public_ds,"""Post-prioritization PRIVATE discussion: Choice of Evaluation Manager (NOT shared)""","""Post-prioritization PRIVATE discussion: Choice of *evaluators* (NOT shared)""","""Any other discussion""",doi,will_authors_engage_discuss,all_authors_names,suggester_other_comments_MV_PRIOR,n_eval_invites_sent_process,XDR-??- Days since Eval Mngr. Chosen,evals_complete_date_process,"""EM: How strong was evaluation 1? (rate as a percentile, discuss; private)""","""EM: How strong was evaluation 2 (rate as a percentile, discuss; private)""",management_discuss,main_cause_cat,label_paper_title,status,eval_manager,"""Other discussants _MV_PRIOR""",paper_category_old,evals_sent_to_authors_process,'Open discussion',next_step_to_do_process,rsx_prioritization_link,events_link,status_modified_ps,"""Link to evaluations""",rating_suggester_view,rating_assessor_view,avg_rating_view,eval_mgr_suggestions_link,"""Evaluation manager's summary""",paper_authors_link,alternate_title,rsx_events_link,check_in_date_process,drx_??_relevance_rating_MV_PRIOR,n_of_evaluators _accepted_process,n_of_evaluations_returned_process,Events,DR_X_N of Eval. invites Sent,DR_X_Invites accepted
85,,https://seemajayachandran.com/money_not_to_burn.pdf,,suggested - externally,,,,"The Environment: Harm to human health, biodiversity, risks and climate change",,,,,,,,,,,,,,,,,,,,,,,,,,,Global health; “Health & well-being in low-income countries”,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning∗ [Duplicate],"50_published evaluations (on PubPub, by Unjournal)",,,,,,,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning∗ [Duplicate],,2024-04-12T07:27:20.597-04:00,,,,58%,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning∗ [Duplicate],,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning∗ [Duplicate],,"Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning∗ [Duplicate],Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning∗ [Duplicate],Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning∗ [Duplicate]",,,,,,,
86,,https://www.povertyactionlab.org/sites/default/files/research-paper/wp9686_Forced-Displacement-Mental-Health-Rohingya-Refugees_Oct2022.pdf,"submitted to ryan directly,Happier Lives Institute Research Agenda (2021 and beyond), and cited work in research syntheses",suggested - externally - NGO,,,"Global Health/ interventions,Mental Health Interventions","Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,,,,,,,,,,,,,,,,,,,,,52 days,,,,,Global health; “Health & well-being in low-income countries”,"Forced Displacement, Mental Health, and Child Development: Evidence from the Rohingya Refugees",02_final consideration needed,Ryan Briggs,,wellbeing,,,,"Forced Displacement, Mental Health, and Child Development: Evidence from the Rohingya Refugees",,2024-04-12T07:27:20.597-04:00,,65%,60%,63%,"Forced Displacement, Mental Health, and Child Development: Evidence from the Rohingya Refugees",,"Forced Displacement, Mental Health, and Child Development: Evidence from the Rohingya Refugees",,,,,,,,,
87,,https://www.nature.com/articles/s41893-020-0562-1,Papers (NBER etc.) mentioned in EA forum (and related places),internal-NBER,,"published, decent journal ","Development and Growth,Development/Development Economics,Environment/Environment and Resource economics",,,,,,,,,,,,,,,,,,,,,,,,,,,https://forum.effectivealtruism.org/posts/yets2uz3WzsAmFg37/air-pollution-is-really-bad-let-s-invest-in-better,Global health; “Health & well-being in low-income countries”,Air pollution and infant mortality: Evidence from Saharan dust/ Dust pollution from the Sahara and African infant mortality,01_Needs prioritization/assessor rating,,,,,,,Air pollution and infant mortality: Evidence from Saharan dust/ Dust pollution from the Sahara and African infant mortality,,2024-04-12T07:27:20.597-04:00,,,,58%,Air pollution and infant mortality: Evidence from Saharan dust/ Dust pollution from the Sahara and African infant mortality,,Air pollution and infant mortality: Evidence from Saharan dust/ Dust pollution from the Sahara and African infant mortality,,"Air pollution and infant mortality: Evidence from Saharan dust/ Dust pollution from the Sahara and African infant mortality,Air pollution and infant mortality: Evidence from Saharan dust/ Dust pollution from the Sahara and African infant mortality,Air pollution and infant mortality: Evidence from Saharan dust/ Dust pollution from the Sahara and African infant mortality",,,,,,,
88,,https://www.lesswrong.com/posts/KrJfoZzpSDpnrv9va/draft-report-on-ai-timelines,RP ‘unreviewed influential EA work’ slack thread,suggested - externally - NGO,,,,,,,,,nonacademic/policy stream,,,,,,,,,,,,,,,,,,,,,"Note there was an ‘independent review’ on the EA forum  https://forum.effectivealtruism.org/posts/bFDwxxfErRStMvuAQ/biological-anchors-external-review-by-jennifer-lin-linkpost
DR, Dec 2023: I think this is now really too old to be relevant, given recent developments. There must be something more recent to tackle instead.","Catastrophic and existential risks,  the long-term future, forecasting",Draft report on AI timelines,deprioritized -- low ratings,,,,,,,Draft report on AI timelines,,2024-04-12T07:27:20.597-04:00,,,,45%,Draft report on AI timelines,,Draft report on AI timelines,,"Draft report on AI timelines,Draft report on AI timelines,Draft report on AI timelines",,,,,,,
89,,https://www.nber.org/system/files/working_papers/w31161/w31161.pdf,"NBER (https://www.nber.org/papers) monitor new work, search earlier work (relevant keywords and subjects)",internal-NBER,not needed (Unjournal Direct),,,"Other: Economics/welfare, growth, policy, global markets and population",,,,,,,"David Reinstein,Gavin Taylor,Anirudh Tagat",,,,,,,,,,,,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),Generative AI at Work,02_final consideration needed,,,,,,,Generative AI at Work,,2024-04-12T07:27:20.597-04:00,,,80%,70%,Generative AI at Work,,Generative AI at Work,,"Generative AI at Work,Generative AI at Work,Generative AI at Work",,,,,,,
90,,https://www.kylemyers.org/_files/ugd/73b908_0a793223c0a644bc8ce519636abdc456.pdf,,,,"Published, ~top journal",,,,,,,,,,,,,,,,,,,https://www.kylemyers.org/_files/ugd/73b908_0a793223c0a644bc8ce519636abdc456.pdf,,,,,,,,,"DR: It seems somewhat related to “Adaptability and the Pivot Penalty in Science”, which we are currently evaluating",,The Elasticity of Science,,,,,,,,The Elasticity of Science,,,,85%,55%,85%,The Elasticity of Science,,The Elasticity of Science,,"The Elasticity of Science,The Elasticity of Science,The Elasticity of Science",,,,,,,
91,,https://www.nber.org/papers/w31409,,,not needed (Unjournal Direct),Working paper/mimeo; not published in a peer-reviewed journal,,,,,,,,,,,,,,,,,,,,Possibly/Average likelihood/I have no idea,,,,,,,,,"Innovation, meta-science, and research",Choose Your Moments: Peer Review and Scientific Risk Taking,02_final consideration needed,,,,,,,Choose Your Moments: Peer Review and Scientific Risk Taking,,2024-04-12T07:27:20.597-04:00,,85%,80%,83%,Choose Your Moments: Peer Review and Scientific Risk Taking,,Choose Your Moments: Peer Review and Scientific Risk Taking,,"Choose Your Moments: Peer Review and Scientific Risk Taking,Choose Your Moments: Peer Review and Scientific Risk Taking,Choose Your Moments: Peer Review and Scientific Risk Taking",,,,,,,
92,,https://www.nber.org/papers/w32069,,,not needed (Unjournal Direct),Working paper/mimeo; not published in a peer-reviewed journal,"Metascience,Innovation and R&D,the economics of science and innovation",,,,,,,,,2024-01-18T00:00:00.000-05:00,,,,,,,,,https://doi.org/10.3386/w32069,,,,,,,,,DR: This seems worth at considering further. I’ll look for an ‘assessor’ to give a second opinion,"Innovation, meta-science, and research",The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,02_final consideration needed,,,"working paper,empirical,quantitative",,,,The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,,2024-04-12T07:27:20.597-04:00,,90%,,90%,The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,,The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,,"The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,The Wandering Scholars: Understanding the Heterogeneity of University Commercialization",,,,,,,
93,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4113271,,,,"published, decent journal ","animal welfare,Agriculture/ Ag econ",,,,,,,,,2024-04-23T00:00:00.000-04:00,,,,,,,,,,"Yes, it seems likely (they seem supportive, we have connections etc.)",,,,,,,,"DR: Having skimmed the abstract and  intro, I agree that this appears strong, interesting, and highly relevant and impactful. It is ‘peer reviewed published’ (Social Choice and Welfare) as you are probably aware Kevin Kuruc?,In  our current model, we are focusing, mainly on working papers. However, there is such a small amount of strong  work in this area I think it might be worth doing post-publication evaluation here. Kevin Kuruc is it safe to assume that the publicly-hosted SSRN version is the same as the final published version?",Markets for products with large externalities (focus: animal agriculture),Animals and Social Welfare,,,,"published,animal welfare,economics",,,,Animals and Social Welfare,,,,90%,,90%,Animals and Social Welfare,,Animals and Social Welfare,,"Animals and Social Welfare,Animals and Social Welfare,Animals and Social Welfare",,,,,,,
94,,https://www.researchgate.net/publication/370908621_Behavioral_Evidence_for_Global_Consciousness_Transcending_National_Parochialism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Behavioral Evidence for Global Consciousness Transcending National Parochialism,,,,,,,,Behavioral Evidence for Global Consciousness Transcending National Parochialism,,,,,,"{""specialValue"":""NaN""}",Behavioral Evidence for Global Consciousness Transcending National Parochialism,,Behavioral Evidence for Global Consciousness Transcending National Parochialism,,"Behavioral Evidence for Global Consciousness Transcending National Parochialism,Behavioral Evidence for Global Consciousness Transcending National Parochialism,Behavioral Evidence for Global Consciousness Transcending National Parochialism",,,,,,,
95,,https://www.researchgate.net/publication/375905291_Giving_farm_animals_a_name_and_a_face_Eliciting_animal_advocacy_among_omnivores_using_the_identifiable_victim_effect,,,,Published: Psychology journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,,,,,,,,Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,,,,,,"{""specialValue"":""NaN""}",Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,,Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,,"Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect",,,,,,,
96,,https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markets for products with large externalities (focus: animal agriculture),Papers mentioned in https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective,,,,,,,,Papers mentioned in https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective,,,,,,"{""specialValue"":""NaN""}",Papers mentioned in https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective,,Papers mentioned in https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective,,"Papers mentioned in https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective,Papers mentioned in https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective,Papers mentioned in https://forum.effectivealtruism.org/posts/k9qqGZtmWz3x4yaaA/environmental-and-health-appeals-are-the-most-effective",2024-06-03T00:00:00.000-04:00,,,,,,
97,,https://www.nber.org/papers/w32073,,,,Working paper/mimeo; not published in a peer-reviewed journal,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)",,,,,,,,,2024-01-29T00:00:00.000-05:00,,,,,,,,,https://doi.org/10.3386/w32073,,,,,,,,,,"Other: Theory and philosophy, artificial intelligence, natural science, etc.","Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,,,"long-term-relevant ,philosophy-esque,empirical,prominent,working paper",,,,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,,,70%,,70%,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,,,,,,,,
98,,https://www.nber.org/papers/w32048#fromrss,,,,Working paper/mimeo; not published in a peer-reviewed journal,"Development and Growth,Agriculture/ Ag econ",,,,,,,,,2024-01-01T00:00:00.000-05:00,,,,,,,,,10.3386/w32048,"Yes, it seems likely (they seem supportive, we have connections etc.)",,,,,,,,,Economic development & governance (LMICs),digital_info_behaviour_east_Africa,,,,,,,,digital_info_behaviour_east_Africa,,,,90%,,90%,digital_info_behaviour_east_Africa,,digital_info_behaviour_east_Africa,,"digital_info_behaviour_east_Africa,digital_info_behaviour_east_Africa,digital_info_behaviour_east_Africa",,,,,,,
99,,https://www.nber.org/papers/w30459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other: Economics/welfare, growth, policy, global markets and population",Growth Theory,,,,,,,,Growth Theory,,,,75%,,75%,Growth Theory,,Growth Theory,,"Growth Theory,Growth Theory,Growth Theory",,,,,,,
100,,https://www.nber.org/papers/w31957,,,,Working paper/mimeo; not published in a peer-reviewed journal,Health Policy/Health economics,,,,,,,,,2023-12-01T00:00:00.000-05:00,,,,,,,,,https://doi.org/10.3386/w31957,,,,,,,,,,Global health; “Health & well-being in low-income countries”,Long-term effects of lead,,,,,,,,Long-term effects of lead,,,,1%,,1%,Long-term effects of lead,,Long-term effects of lead,,"Long-term effects of lead,Long-term effects of lead,Long-term effects of lead",,,,,,,
101,,https://www.nber.org/papers/w32106,,,not needed (Unjournal Direct),Working paper/mimeo; not published in a peer-reviewed journal,,,,,,,,,,2024-02-05T00:00:00.000-05:00,,,,,,,,,https://doi.org/10.3386/w32106,,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),Copyright Policy Options for Generative Artificial Intelligence,,,,"Artificial intelligence,theory",,,,Copyright Policy Options for Generative Artificial Intelligence,,,,65%,,65%,Copyright Policy Options for Generative Artificial Intelligence,,Copyright Policy Options for Generative Artificial Intelligence,,"Copyright Policy Options for Generative Artificial Intelligence,Copyright Policy Options for Generative Artificial Intelligence,Copyright Policy Options for Generative Artificial Intelligence",,,,,,,
102,,https://www.nber.org/papers/w32105?utm_campaign=ntwh&utm_medium=email&utm_source=ntwg2,,,not needed (Unjournal Direct),Working paper/mimeo; not published in a peer-reviewed journal,,,,,,,,,,2024-02-05T00:00:00.000-05:00,,,,,,,,,https://doi.org/10.3386/w32105,,,,,,,,,,"Catastrophic and existential risks,  the long-term future, forecasting",How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,,,,Artificial intelligence,,,,How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,,,,65%,,65%,How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,,How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,,"How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption",,,,,,,
103,,https://www.nber.org/papers/w31554,,,,Working paper/mimeo; not published in a peer-reviewed journal,Environment/Environment and Resource economics,,,,,,,,,2023-08-01T00:00:00.000-04:00,,,,,,,,,doi.org/10.3386/w31554,Possibly/Average likelihood/I have no idea,,,,,,,,,"The Environment: Harm to human health, biodiversity, risks and climate change",Urban Forests: Environmental Health Values and Risks,,,,,,,,Urban Forests: Environmental Health Values and Risks,,,,65%,75%,65%,Urban Forests: Environmental Health Values and Risks,,Urban Forests: Environmental Health Values and Risks,,"Urban Forests: Environmental Health Values and Risks,Urban Forests: Environmental Health Values and Risks,Urban Forests: Environmental Health Values and Risks",,,,,,,
104,,https://www.science.org/doi/10.1126/science.adj9986,,,,"Published, ~top journal",Global Health/ interventions,,,,,,,,,2024-02-09T00:00:00.000-05:00,,,,,,,,,doi.org/10.1126/science.adj9986,Possibly/Average likelihood/I have no idea,,,,,,,,,Global health; “Health & well-being in low-income countries”,What drives poor quality of care for child diarrhea?,,,,"published,GH&D",,,,What drives poor quality of care for child diarrhea?,,,,80%,,80%,What drives poor quality of care for child diarrhea?,,What drives poor quality of care for child diarrhea?,,"What drives poor quality of care for child diarrhea?,What drives poor quality of care for child diarrhea?,What drives poor quality of care for child diarrhea?",,,,,,,
105,,https://arxiv.org/abs/2402.07862,,,,Working paper/mimeo; not published in a peer-reviewed journal,,,,,,,,,,,,,,,,,,,https://doi.org/10.48550/arXiv.2402.07862,,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,,,,,,,,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,,,,70%,,70%,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,,"AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy",,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,globalization,,,,,,,,globalization,,,,,,"{""specialValue"":""NaN""}",globalization,,globalization,,"Artificial intelligence, globalization, and strategies for economic development,globalization,globalization,Artificial intelligence, globalization, and strategies for economic development,globalization,Artificial intelligence, globalization, and strategies for economic development",,,,,,,
107,,https://arxiv.org/ftp/arxiv/papers/2402/2402.09809.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,,,,,,,,Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,,,,70%,,70%,Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,,Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,,"Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana",,,,,,,
108,,https://www.econstor.eu/handle/10419/249581,,suggested - internally,,Working paper/mimeo; not published in a peer-reviewed journal,"Labor Economics,economic growth",,,,,,,,,2022-02-01T00:00:00.000-05:00,,,,,,,,,,Possibly/Average likelihood/I have no idea,,,,,,,,,Emerging technologies: social and economic impacts (focus: AI),Robots For Economic Development,02_final consideration needed,,,"working paper,empirical",,,,Robots For Economic Development,,2024-04-12T07:27:20.597-04:00,,60%,75%,68%,Robots For Economic Development,,Robots For Economic Development,,"Robots For Economic Development,Robots For Economic Development,Robots For Economic Development",,,,,,,
109,,https://psyarxiv.com/2x6nv/,,,,Published: Psychology journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Moral expansiveness around the world: The role of societal factors across 36 countries,01_Needs prioritization/assessor rating,,,,,,,Moral expansiveness around the world: The role of societal factors across 36 countries,,2024-04-12T07:27:20.597-04:00,,,,60%,Moral expansiveness around the world: The role of societal factors across 36 countries,,Moral expansiveness around the world: The role of societal factors across 36 countries,,"Moral expansiveness around the world: The role of societal factors across 36 countries,Moral expansiveness around the world: The role of societal factors across 36 countries,Moral expansiveness around the world: The role of societal factors across 36 countries",,,,,,,
110,,http://files.luciuscaviola.com/Caviola-et-al_2022_Humans_first.pdf,The EA Behavioral Science Newsletter https://app.mailerlite.com/m9f6w0?utm_source=newsletter&utm_medium=email&utm_campaign=the_ea_behavioral_science_newsletter_4&utm_term=2022-03-09,suggested - internally,,Published: Psychology journal,,Markets for products with large externalities (focus: animal agriculture),,"Decline, setting up EA psychology lab and has no time.",,,niche academic,,,,,,,,,,,,,,,,,,,,,Authors seem to say no,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",Humans First: Why people value animals less than humans,01_Needs prioritization/assessor rating,,,"animal welfare,attitudes/behavioral",,,,Humans First: Why people value animals less than humans,,2024-04-12T07:27:20.597-04:00,,60%,50%,57%,Humans First: Why people value animals less than humans,,Humans First: Why people value animals less than humans,,"Humans First: Why people value animals less than humans,Humans First: Why people value animals less than humans,Humans First: Why people value animals less than humans",,,,,,,
111,,,Michael St Jules,suggested - externally,,,,,,,,,nonacademic/policy stream,,,,,,,,,,,,,,,,,,,,,,Markets for products with large externalities (focus: animal agriculture),"Specific suggestions, non-academic for animal welfare (expand these)",01_Needs prioritization/assessor rating,,,"animal welfare,archives",,,,"Specific suggestions, non-academic for animal welfare (expand these)",,2024-04-12T07:27:20.597-04:00,,,,55%,"Specific suggestions, non-academic for animal welfare (expand these)",,"Specific suggestions, non-academic for animal welfare (expand these)",,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",D. (2021)  National parochialism is ubiquitous across 42 nations around the world. Nature Communications. ,,,,,,,,D. (2021)  National parochialism is ubiquitous across 42 nations around the world. Nature Communications. ,,,,,,"{""specialValue"":""NaN""}",D. (2021)  National parochialism is ubiquitous across 42 nations around the world. Nature Communications. ,,D. (2021)  National parochialism is ubiquitous across 42 nations around the world. Nature Communications. ,,,2024-05-09T00:00:00.000-04:00,,,,,,
113,,https://web.stanford.edu/~tingyan/files/Empathy_JMP.pdf,Kotahi Submission,submitted (by author(s)),,Unpublished,,,,First Author: Tingyan Jia,,,,,,,,,,,,,,,,,,,,52 days,,,,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]","Empathy, Motivated Reasoning, and Redistribution",01_Needs prioritization/assessor rating,David Reinstein,,economics,,,,"Empathy, Motivated Reasoning, and Redistribution",,2024-04-12T07:27:20.597-04:00,,,,67%,"Empathy, Motivated Reasoning, and Redistribution",,"Empathy, Motivated Reasoning, and Redistribution",,,2024-07-07T00:00:00.000-04:00,,,,,,
114,,https://ethz.ch/content/dam/ethz/special-interest/mtec/cer-eth/resource-econ-dam/documents/research/sured/sured-2018/58-MEJEAN%20et%20al%20SURED.pdf,Forethought Foundation… Research overview,internal-from-syllabus-agenda-policy-database,,"Published, ? journal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other: Economics/welfare, growth, policy, global markets and population","Catastrophic climate change, population ethics and intergenerational equity",01_Needs prioritization/assessor rating,,,,,,,"Catastrophic climate change, population ethics and intergenerational equity",,2024-04-12T07:27:20.597-04:00,,,,"{""specialValue"":""NaN""}","Catastrophic climate change, population ethics and intergenerational equity",,"Catastrophic climate change, population ethics and intergenerational equity",,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE: research with [PREVIOUS] 50% or lower prioritization moved to the overflow airtable. Full set of ‘crucial research’ can also be accessed here: https://www.dropbox.com/scl/fi/ltskzo0pe796pn8me2xuy/crucial_research-Grid-view-main-_31_july_2023_all.csv?rlkey=s9yg0tigpvv4xsiwefn6mb78s&dl=0,01_Needs prioritization/assessor rating,,,,,,,NOTE: research with [PREVIOUS] 50% or lower prioritization moved to the overflow airtable. Full set of ‘crucial research’ can also be accessed here: https://www.dropbox.com/scl/fi/ltskzo0pe796pn8me2xuy/crucial_research-Grid-view-main-_31_july_2023_all.csv?rlkey=s9yg0tigpvv4xsiwefn6mb78s&dl=0,,2024-04-12T07:27:20.597-04:00,,0%,,0%,NOTE: research with [PREVIOUS] 50% or lower prioritization moved to the overflow airtable. Full set of ‘crucial research’ can also be accessed here: https://www.dropbox.com/scl/fi/ltskzo0pe796pn8me2xuy/crucial_research-Grid-view-main-_31_july_2023_all.csv?rlkey=s9yg0tigpvv4xsiwefn6mb78s&dl=0,,NOTE: research with [PREVIOUS] 50% or lower prioritization moved to the overflow airtable. Full set of ‘crucial research’ can also be accessed here: https://www.dropbox.com/scl/fi/ltskzo0pe796pn8me2xuy/crucial_research-Grid-view-main-_31_july_2023_all.csv?rlkey=s9yg0tigpvv4xsiwefn6mb78s&dl=0,,"NOTE: research with [PREVIOUS] 50% or lower prioritization moved to the overflow airtable. Full set of ‘crucial research’ can also be accessed here: https://www.dropbox.com/scl/fi/ltskzo0pe796pn8me2xuy/crucial_research-Grid-view-main-_31_july_2023_all.csv?rlkey=s9yg0tigpvv4xsiwefn6mb78s&dl=0,NOTE: research with [PREVIOUS] 50% or lower prioritization moved to the overflow airtable. Full set of ‘crucial research’ can also be accessed here: https://www.dropbox.com/scl/fi/ltskzo0pe796pn8me2xuy/crucial_research-Grid-view-main-_31_july_2023_all.csv?rlkey=s9yg0tigpvv4xsiwefn6mb78s&dl=0,NOTE: research with [PREVIOUS] 50% or lower prioritization moved to the overflow airtable. Full set of ‘crucial research’ can also be accessed here: https://www.dropbox.com/scl/fi/ltskzo0pe796pn8me2xuy/crucial_research-Grid-view-main-_31_july_2023_all.csv?rlkey=s9yg0tigpvv4xsiwefn6mb78s&dl=0",,,,,,,
116,,https://onlinelibrary.wiley.com/doi/epdf/10.1002/agr.21580,Reinstein,suggested - internally,,"Published, ? journal",,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group],Possible category: more ‘economics’ treatment of preferences for giving and ‘ethical/donation-linked’ choices; implications of these preferences; donor coordination etc.",,,,,,,,,,,,,,,,,,,,,,,,,,"Extremely important to chicken welfare. Involves choice experiments with some standard but technical econometrics.
But it’s not clear author is engaging with the Unjournal model",Markets for products with large externalities (focus: animal agriculture),Consumer preferences for cage-free eggs and impacts of retailer pledges,01_Needs prioritization/assessor rating,,,"animal welfare,consumer preferences",,,,Consumer preferences for cage-free eggs and impacts of retailer pledges,,2024-04-12T07:27:20.597-04:00,,65%,70%,68%,Consumer preferences for cage-free eggs and impacts of retailer pledges,,Consumer preferences for cage-free eggs and impacts of retailer pledges,,"Consumer preferences for cage-free eggs and impacts of retailer pledges,Consumer preferences for cage-free eggs and impacts of retailer pledges,Consumer preferences for cage-free eggs and impacts of retailer pledges",,,,,,,
