label_paper_title,status,research_url,doi,main_cause_cat,secondary_cause_cat,publication_status,working_paper_release_date,topic_subfield,source_main
Where Have All the “Creative Talents” Gone?,01_Needs prioritization/assessor rating,https://bfi.uchicago.edu/wp-content/uploads/2023/03/BFI_WP_2023-32.pdf,https://doi.org/10.3386/w31085,"Innovation, meta-science, and research","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2023-03-01T00:00:00.000-05:00,Firm Behavior,
"Money, Time, and Grant Design",02_final consideration needed,https://doi.org/10.48550/arXiv.2312.06479,10.1257/aer.20161574,"Innovation, meta-science, and research","Other (Economics): Welfare, growth, policy, global markets & popn.","Published, ~top journal",,,
Advance Market Commitments: Insights from Theory and Experience,"50_published evaluations (on PubPub, by Unjournal)",https://sites.dartmouth.edu/csnyder/files/2021/02/w26775.pdf,,Global health; “Health & well-being in low-income countries”,"Communicable diseases, bio-security & pandemic preparedness, biological risks","Published, uncertain peer review",2021-02-01T00:00:00.000-05:00,,internal-from-syllabus-agenda-policy-database
Banning wildlife trade can boost demand for unregulated threatened species,"50_published evaluations (on PubPub, by Unjournal)",https://osf.io/preprints/socarxiv/s6gwu/,,Markets for products with large externalities (focus: animal agriculture),"The Environment: Harm to human health, biodiversity, risks & climate",,2022-05-29T00:00:00.000-04:00,,submitted (by author(s))
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,"50_published evaluations (on PubPub, by Unjournal)",https://bfi.uchicago.edu/wp-content/uploads/2022/10/BFI_WP_2022-135.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,2024-08-14T00:00:00.000-04:00,"Other,Law and Economics,Economic Systems,Environment/Environment and Resource economics",suggested - externally
Biodiversity risk,"50_published evaluations (on PubPub, by Unjournal)",https://www.biodiversityrisk.org/,,"The Environment: Harm to human health, biodiversity, risks and climate change","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
Universalism and Political Representation: Evidence from the Field,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://www.nber.org/papers/w31265,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,"published, decent journal ",,Political economy,
Be Cautious with the Precautionary Principle: Evidence from Fukushima Daiichi Nuclear Accident,02_final consideration needed,https://www.nber.org/papers/w26395,,"The Environment: Harm to human health, biodiversity, risks and climate change","Catastrophic & existential risks, the long-term future, forecasting","published, decent journal ",,"Health, Education, and Welfare,Environment/Environment and Resource economics,Health Policy/Health economics",internal-NBER
Building Resilient Health Systems: Experimental Evidence from Sierra Leone and The 2014 Ebola Outbreak,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://web.archive.org/web/20201106080706id_/https://repec.bfi.uchicago.edu/RePEc/pdfs/BFI_WP_202028.pdf,,Global health; “Health & well-being in low-income countries”,,"Published, ~top journal",,,suggested - externally
Adjusting for Publication Bias Reveals Mixed Evidence for the Impact of Cash Transfers on Subjective Well-Being and Mental Health,deprioritized -- low ratings,https://psyarxiv.com/d9vcg/?utm_source=newsletter&utm_medium=email&utm_campaign=the_ea_behavioral_science_newsletter_4&utm_term=2022-03-09,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - internally
Sacred Values? The Effect of Information on Attitudes toward Payments for Human Organs,"de-prioritized bc. of journal-publication status, authors permission, etc.",https://www.iza.org/publications/dp/10187/efficiency-morality-trade-offs-in-repugnant-transactions-a-choice-experiment,,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,"Published, ~top journal",,"Microeconomics,Econometrics,Experimental Design/Experimental economics,Market Structure and Firm Performance,Welfare and collective choice,Health, Education, and Welfare,Health Policy/Health economics",internal-NBER
Subjecting the ‘Average Joe’ to War Theatre Triggers Intimate Partner Violence,deprioritized -- low ratings,https://www.nber.org/papers/w31227,,Global health; “Health & well-being in low-income countries”,,Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
Towards best practices in AGI safety and governance,04_selected_choose_evaluation_manager,https://arxiv.org/abs/2305.07153,https://doi.org/10.48550/arXiv.2305.07153,Emerging technologies: social and economic impacts (focus: AI),"Catastrophic & existential risks, the long-term future, forecasting",Working paper/mimeo; not published in a peer-reviewed journal,2023-05-11T00:00:00.000-04:00,AI Alignment,
Global Supply Chains in the Pandemic,02_final consideration needed,https://www.nber.org/papers/w27224,,"Other: Economics/welfare, growth, policy, global markets and population","Catastrophic & existential risks, the long-term future, forecasting","published, decent journal ",,"Covid-19,International Economics",internal-NBER
"When will AI exceed human performance? Evidence from AI experts"" (FHI linked)",deprioritized -- low ratings,https://arxiv.org/abs/1705.08807,,Emerging technologies: social and economic impacts (focus: AI),"Other: Theory and philosophy, artificial intelligence, natural science, etc.","Published, ? journal",,,internal-from-syllabus-agenda-policy-database
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,"50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w30126,,"Catastrophic and existential risks,  the long-term future, forecasting","Innovation, meta-science, & research",book chapter,2022-06-21T00:00:00.000-04:00,"Covid-19,Public Economics,National Fiscal Issues,Health, Education, and Welfare,Health Policy/Health economics",internal-NBER
2017 Report on Consciousness and Moral Patienthood,deprioritized -- low ratings,https://www.openphilanthropy.org/research/2017-report-on-consciousness-and-moral-patienthood/,,"Other: Theory and philosophy, artificial intelligence, natural science, etc.",,Published - CHECK,,,suggested - externally - NGO
Existential risk and growth,"50_published evaluations (on PubPub, by Unjournal)",comm,,"Catastrophic and existential risks,  the long-term future, forecasting","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,,internal-from-syllabus-agenda-policy-database
The Impact of Corporate Social Responsibility on Animal Welfare Standards: Evidence from the Cage-free Egg Industry,authors rejected/blocked us,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4219976,,Markets for products with large externalities (focus: animal agriculture),,Published - CHECK,,animal welfare,suggested - internally
"The causal effect of environmental catastrophe on long-run economic growth: Evidence from 6,700 cyclones",deprioritized -- low ratings,https://gspp.berkeley.edu/research-and-impact/working-papers/the-causal-effect-of-environmental-catastrophe-on-long-run-economic-growth,,"The Environment: Harm to human health, biodiversity, risks and climate change","Other (Economics): Welfare, growth, policy, global markets & popn.,Innovation, meta-science, & research,Economic development & governance (LMICs)",Working paper/mimeo; not published in a peer-reviewed journal,,"Public Economics,Development and Growth,Development/Development Economics,Environment/Environment and Resource economics,Regional and Urban Economics,Policy",internal-NBER
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,"50_published evaluations (on PubPub, by Unjournal)",https://allfed.info/images/pdfs/Long_term_cost_effectiveness_of_resilien.pdf,,"Catastrophic and existential risks,  the long-term future, forecasting",Emerging technologies: social & economic impacts (focus: AI),"Published, ? journal",2022-04-21T00:00:00.000-04:00,,submitted (by author(s))
Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,"50_published evaluations (on PubPub, by Unjournal)",https://escholarship.org/uc/item/3d11905j,,Global health; “Health & well-being in low-income countries”,,Working paper/mimeo; not published in a peer-reviewed journal,,"Development and Growth,Global Health/ interventions",internal-NBER
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,"50_published evaluations (on PubPub, by Unjournal)",https://www.aeaweb.org/articles?id=10.1257/aeri.20210612,,Global health; “Health & well-being in low-income countries”,Economic development & governance (LMICs),,2022-12-01T00:00:00.000-05:00,"Public Economics,Health, Education, and Welfare,Poverty and Wellbeing,Labor Economics,Demography and Aging,Labor Supply and Demand,Development and Growth,Development/Development Economics",internal-NBER
"Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter? (Food Policy)",deprioritized -- low ratings,https://edepot.wur.nl/530803,,Markets for products with large externalities (focus: animal agriculture),"Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]","Published, ? journal",,,suggested - internally
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,"50_published evaluations (on PubPub, by Unjournal)",https://conference.nber.org/conf_papers/f192616.pdf,,Economic development & governance (LMICs),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2023-09-15T00:00:00.000-04:00,cash grants,
Traditional Institutions in Modern Times: Dowries as Pensions When Sons Migrate,deprioritized -- low ratings,https://www.nber.org/papers/w31176,,Economic development & governance (LMICs),"Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,,,internal-NBER
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development","50_published evaluations (on PubPub, by Unjournal)",https://www.nber.org/papers/w31663,,Economic development & governance (LMICs),"Innovation, meta-science, & research,Economic development & governance (LMICs)",Working paper/mimeo; not published in a peer-reviewed journal,2024-06-24T00:00:00.000-04:00,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.)",
Vaccines at Velocity: Evaluating Potential Lives Saved by Earlier Vaccination in the COVID-19 Pandemic,deprioritized -- low ratings,https://www.medrxiv.org/content/10.1101/2023.06.16.23291442v2.full.pdf+html,,"Health and well-being (global, including wealthy countries)","Communicable diseases, bio-security & pandemic preparedness, biological risks,Catastrophic & existential risks, the long-term future, forecasting",Working paper/mimeo; not published in a peer-reviewed journal,,pandemic policy research,suggested - externally - NGO
The Returns to Science In the Presence of Technological Risks,20_awaiting_evaluations,https://www.dropbox.com/scl/fi/ft06c1kg1weqaeu6p0fbh/The-Returns-to-Science-In-the-Presence-of-Technological-Risks-v2.pdf?rlkey=3zl918t2p1fdtg92qo0b7aqap&dl=0,,"Innovation, meta-science, and research","Catastrophic & existential risks, the long-term future, forecasting",Working paper/mimeo; not published in a peer-reviewed journal,2023-12-21T00:00:00.000-05:00,,
Interventions to reduce meat consumption by appealing to animal welfare: Meta-analysis and evidence-based recommendations.,deprioritized -- low ratings,https://www.sciencedirect.com/science/article/pii/S0195666321001847?via%3Dihub,,Markets for products with large externalities (focus: animal agriculture),"Attitudes & behaviors (Altruism, moral circles,  effectiveness, political, etc.) [Psych/BE-adjacent ]","Published, ? journal",,,suggested - internally
Carbon pricing and bounded reasoning,03_awaiting authors' consent (where needed) or imminent update,https://drive.google.com/file/d/14BUYuKuNcuML4nWUjWmMDOUpIwwB9ycx/edit,,"The Environment: Harm to human health, biodiversity, risks and climate change","Other (Economics): Welfare, growth, policy, global markets & popn.",Working paper/mimeo; not published in a peer-reviewed journal,2023-11-01T00:00:00.000-04:00,Environment/Environment and Resource economics,
"Using RCTs to Estimate Long-Run Impacts in Development Economics’ Adrien Bougen, Yue Huang, Michael Kremer and Edward Miguel",deprioritized -- low ratings,https://repec.cepr.org/repec/cpr/ceprdp/DP13443.pdf,,Economic development & governance (LMICs),"Catastrophic & existential risks, the long-term future, forecasting",Working paper/mimeo; not published in a peer-reviewed journal,,,internal-from-syllabus-agenda-policy-database
Adaptability and the Pivot Penalty in Science,10_seeking_(more)_evaluators,https://www.dropbox.com/s/5itlmhdkz1ll7jp/MS_SI_combined.pdf?dl=0,https://doi.org/10.48550/arXiv.2107.06476,"Innovation, meta-science, and research",,Working paper/mimeo; not published in a peer-reviewed journal,,Metascience,
Improving Peer Review in Economics: Stocktaking and Proposals∗,02_final consideration needed,https://evalresearch.weebly.com/uploads/1/3/3/4/133478410/improving_peer_review_in_economics_-_charness_et_al..pdf,,"Innovation, meta-science, and research","Other (Economics): Welfare, growth, policy, global markets & popn.",Published - CHECK,,,suggested - externally
Privacy Regulation and Firm Performance,deprioritized -- low ratings,https://www.oxfordmartin.ox.ac.uk/downloads/Privacy-Regulation-and-Firm-Performance-Giorgio-WP-Upload-2022-1.pdf,,"Other: Economics/welfare, growth, policy, global markets and population",,Working paper/mimeo; not published in a peer-reviewed journal,2022-01-06T00:00:00.000-05:00,Market Structure and Firm Performance,
